log2FoldChange	ENTREZID	SYMBOL
-1.73021635716701	1627	DBN1
-1.50647855332741	64395	GMCL1
1.04254644242053	22856	CHSY1
-0.945283251679012	64397	ZNF106
1.13649006483517	7126	TNFAIP1
1.96127973923899	144195	SLC2A14
1.2302279921158	57579	FAM135A
0.954516846228979	148867	SLC30A7
1.23174328902215	56951	C5orf15
1.23854718732263	2876	GPX1
-1.03190746397115	80146	UXS1
1.07187741866288	7398	USP1
1.15046226248315	51460	SFMBT1
1.28631136318913	5970	RELA
1.60004480911069	55577	NAGK
-3.03647956805173	4883	NPR3
1.46758888978147	195828	ZNF367
-0.964341520295518	84085	FBXO30
-2.82494530471462	55816	DOK5
2.2185218322953	7461	CLIP2
-1.26544667611429	5125	PCSK5
1.15119142985968	8324	FZD7
-1.79746505509937	160518	DENND5B
-1.02333104711739	2744	GLS
-1.53638123005437	8536	CAMK1
-1.8205487556319	4638	MYLK
-1.07394770491175	83892	KCTD10
5.5126049704848	3553	IL1B
2.49788603309313	375790	AGRN
1.43834086731862	994	CDC25B
1.4793092729836	56259	CTNNBL1
-2.78159718746989	4622	MYH4
2.22502347398991	54149	C21orf91
2.13247538227381	93664	CADPS2
0.809612591961952	23673	STX12
-0.695965914925339	23033	DOPEY1
-1.09180215050453	3992	FADS1
-1.04384410699395	2934	GSN
4.72839260031969	65108	MARCKSL1
-1.14701043377204	5291	PIK3CB
-0.954654272567287	54497	HEATR5B
0.818537239488569	26509	MYOF
-1.20998771023095	93627	TBCK
1.15754045019009	81848	SPRY4
4.79201778757468	3045	HBD
-0.766703593814459	9867	PJA2
1.4926221595808	6385	SDC4
1.63037918191549	4171	MCM2
1.81025461887753	59274	MESDC1
2.57139025006654	5327	PLAT
1.39912573698732	840	CASP7
-1.14084703007625	8445	DYRK2
-1.17022566379129	23051	ZHX3
0.853224532866082	10598	AHSA1
-1.80157793554926	84962	AJUBA
-0.840425604484211	23136	EPB41L3
-0.916754465197591	64839	FBXL17
1.95875880042578	28996	HIPK2
0.556216873102222	8243	SMC1A
-1.42404920744256	55852	TEX2
-0.894105795372755	134553	C5orf24
0.76548946545217	23760	PITPNB
2.65759202233027	10475	TRIM38
-1.36596858554622	54629	FAM63B
1.49758689976983	677	ZFP36L1
-0.657740746937739	5098	PCDHGC3
3.41496566954926	837	CASP4
0.96031516623684	5295	PIK3R1
0.964306436510384	54898	ELOVL2
1.92829389161033	6671	SP4
-1.08993874918891	54477	PLEKHA5
3.49726295989543	4499	MT1M
1.75969858828584	25904	CNOT10
1.20868106985032	51646	YPEL5
-1.09809274052331	5567	PRKACB
0.577828023937324	3178	HNRNPA1
-0.891119263413314	4131	MAP1B
-1.95867996159343	7043	TGFB3
0.7995062239933	8726	EED
-1.49974725356697	26001	RNF167
0.961796129658084	92344	GORAB
-0.86994421402562	10479	SLC9A6
-0.675626432251881	1464	CSPG4
-0.97229927080664	2992	GYG1
0.790059971196511	55968	NSFL1C
-1.00764794169067	1107	CHD3
1.25562304811479	7804	LRP8
1.58341528731093	5982	RFC2
-0.744220925256082	6311	ATXN2
-0.788743575114154	147991	DPY19L3
-1.11363399998894	337876	CHSY3
1.59986045680575	7099	TLR4
0.735305027432374	22992	KDM2A
2.1779608588302	79642	ARSJ
-0.767041742679985	5825	ABCD3
-0.75611095419477	56947	MFF
2.26081984103075	1193	CLIC2
-1.31590530532589	687	KLF9
1.37464003700553	6868	ADAM17
-1.39553672728522	7067	THRA
0.973541315494688	54676	GTPBP2
1.08928668520141	8894	EIF2S2
-1.45008350842436	60509	AGBL5
3.17516829712546	56978	PRDM8
1.701354121298	157638	FAM84B
-0.658248638318158	57498	KIDINS220
1.09000025773338	23636	NUP62
0.770302856021558	55677	IWS1
0.527453336725659	3098	HK1
-1.39039133117111	51321	AMZ2
-0.834536629872522	57153	SLC44A2
4.21858187447221	84166	NLRC5
-1.31759363613425	11112	HIBADH
0.736704125917036	137964	GPAT4
-1.03121315005609	152485	ZNF827
1.96124462698932	2289	FKBP5
1.97899735492779	50650	ARHGEF3
1.61654339312742	23549	DNPEP
1.44131410742551	79073	TMEM109
1.90371356602425	50507	NOX4
3.04103162277423	3732	CD82
-1.41172565750378	6792	CDKL5
-2.18359018871847	56172	ANKH
-0.626874187375331	1456	CSNK1G3
-1.13172183696712	26037	SIPA1L1
1.27252482274893	9968	MED12
-0.603361004612948	3799	KIF5B
0.568910735760514	10213	PSMD14
-1.16769256492717	8125	ANP32A
2.4364291373653	9754	STARD8
0.632399007755265	55690	PACS1
-1.32997823523038	55558	PLXNA3
-1.22789739938772	201895	SMIM14
1.29967494140067	51228	GLTP
3.2475031331594	3430	IFI35
-1.58032647359959	28965	SLC27A6
-0.61482659097294	145567	TTC7B
-0.684086062509671	4649	MYO9A
-1.18944862461829	818	CAMK2G
-0.901828642435044	647979	NORAD
-1.29949929786348	10631	POSTN
-1.63459211541394	56261	GPCPD1
0.701083441495669	143	PARP4
-1.31673511026435	143279	HECTD2
0.710847649302333	22889	KIAA0907
2.4970403992269	201232	SLC16A13
5.66567812179925	8651	SOCS1
4.08343698005293	57228	SMAGP
2.28219054381135	6482	ST3GAL1
1.06366260843532	80896	NPL
-0.806825812558587	55255	WDR41
-0.934396674891882	10217	CTDSPL
1.45511350042875	7132	TNFRSF1A
-0.695036922400405	7846	TUBA1A
-1.20353674224421	2260	FGFR1
1.3796493199854	11010	GLIPR1
-2.66808074582433	9890	PLPPR4
1.19522497931885	3983	ABLIM1
0.81981679962616	9741	LAPTM4A
-1.02984051449478	7328	UBE2H
1.3800361044948	1005	CDH7
-3.38445962337498	3084	NRG1
1.17904966649073	147040	KCTD11
-0.723909591760771	51105	PHF20L1
-1.20871723521768	253558	LCLAT1
-2.70115107942024	4325	MMP16
-2.60012854623805	154661	RUNDC3B
-1.2195297949893	57511	COG6
1.30397044771149	2681	GGTA1P
2.45738307698711	355	FAS
2.04836036381579	1903	S1PR3
1.12194079976395	10678	B3GNT2
-2.06681787829274	10579	TACC2
4.33346216876086	718	C3
3.01996476705283	9830	TRIM14
1.84564368018645	84674	CARD6
-2.0784245128706	654	BMP6
1.45112224391804	8061	FOSL1
-1.20525228312778	9828	ARHGEF17
1.07873076308176	9541	CIR1
-1.66503771416342	117178	SSX2IP
1.33424313771524	7187	TRAF3
4.45227972634088	51296	SLC15A3
1.68295974357439	55731	FAM222B
-0.810832469040762	22982	DIP2C
0.720321571905866	678	ZFP36L2
-1.09644086063185	22905	EPN2
-0.609186029106732	23176	SEPT8
2.04826855327703	5899	RALB
-0.794191359118387	30846	EHD2
-1.02155638969057	54793	KCTD9
1.32169593554762	391	RHOG
4.91659173718754	255231	MCOLN2
3.33578315682349	51129	ANGPTL4
-0.700705842425536	1656	DDX6
3.31033191598866	255488	RNF144B
-0.584639476642738	4921	DDR2
1.63798101301715	5153	PDE1B
1.22625436977997	10846	PDE10A
1.45673966918467	8506	CNTNAP1
1.79041541467077	8660	IRS2
-0.686354013546255	2617	GARS
0.608238846183525	8880	FUBP1
3.29807175084838	3383	ICAM1
-0.998793852745786	168667	BMPER
-1.0202093845155	55975	KLHL7
-0.814797402333701	5586	PKN2
-1.0578269564791	10472	ZBTB18
1.71692575469622	7290	HIRA
-1.62125524342236	55075	UACA
-1.05720235734142	10512	SEMA3C
1.69063110041174	7903	ST8SIA4
1.65117453664916	79365	BHLHE41
1.27684607749392	283298	OLFML1
2.97640222763344	58985	IL22RA1
0.703068252405075	25825	BACE2
1.68150304769723	3554	IL1R1
1.13255085345468	4176	MCM7
0.56734180924397	2885	GRB2
1.88360341006137	23024	PDZRN3
4.75158304877738	54734	RAB39A
-2.99364392057769	70	ACTC1
1.09171923723774	9817	KEAP1
1.40325718043916	6041	RNASEL
-1.52206750315172	6310	ATXN1
-1.28678003162396	114134	SLC2A13
-1.368955938929	5357	PLS1
-0.549723379804428	7094	TLN1
5.26128794414677	114614	MIR155HG
